word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	word.concentration.8	word.concentration.9	word.concentration.10	
9.963299679403627707e+00 9.993267393265897525e+00 9.919658273554432526e+00 9.891458023553665768e+00 9.594361433441639164e+00 7.953378003549598674e+00 9.996077203685347357e+00 9.959631646682744588e+00 7.312647696941031228e+00 9.610524703698668958e+00
9.945100706307071547e+00 9.970634562870024808e+00 9.965255814615552765e+00 9.898798765659776677e+00 9.355526712898118546e+00 9.751288409769820476e+00 9.987595080955889770e+00 9.958429624136531544e+00 8.613928023645023302e+00 8.787305449056148632e+00
9.983819549926611359e+00 9.985223411824906137e+00 9.700234892351200955e+00 9.984439375932819161e+00 9.613467676273822704e+00 9.434055802355347353e+00 9.964916122142824406e+00 9.967403675878625080e+00 8.817413603666512500e+00 9.390935117871105575e+00
9.971569806989322160e+00 9.971803230643615734e+00 9.885420648549541056e+00 9.801351347306004769e+00 9.291720624265545680e+00 9.194970710867483632e+00 9.976618313372913605e+00 9.836111810454955418e+00 9.304227679769297765e+00 9.698042512752117261e+00
9.933380376570553949e+00 9.981852101643017505e+00 9.854574599849133421e+00 9.729414056823106449e+00 9.166270883564063610e+00 7.930058596891029765e+00 9.990789401846116746e+00 9.958238794575176911e+00 9.635110429915753727e+00 9.121390395110458016e+00
9.986169238866352771e+00 9.980120337592198965e+00 9.879573308523902142e+00 9.798610280849910481e+00 9.344431704958477525e+00 7.644026916160004070e+00 9.947395903752278556e+00 9.569151655838407322e+00 8.250425236314899990e+00 9.489009209389603683e+00
9.986249603367111760e+00 9.925596860538115962e+00 9.956819322150071372e+00 9.875282720429483518e+00 9.515094985068785149e+00 8.985173397607942647e+00 9.968477308812198956e+00 9.783861413071658575e+00 8.143650639298741112e+00 9.115843984281482903e+00
9.917752487307614828e+00 9.977007717957933508e+00 9.532920047089797677e+00 9.659372363254842497e+00 9.033787664923123018e+00 9.468612543471024878e+00 9.942142113580164420e+00 9.820383368312954886e+00 7.666393694126526270e+00 9.552092106090597667e+00
9.879128237975679738e+00 9.986990704295097387e+00 8.566020315510296967e+00 9.979635412985999210e+00 9.106440183509041830e+00 9.305054765151105300e+00 9.995977465582006616e+00 9.699978619043568173e+00 7.650969979101487795e+00 8.499358925495151595e+00
9.996567212128660174e+00 9.996278096949147596e+00 9.408875969550953400e+00 9.156672480277938675e+00 8.812915494895898760e+00 9.270188571176417369e+00 9.985827367523844700e+00 9.821495766331869604e+00 8.287723161905553582e+00 9.694371425933352882e+00
9.965000093625942412e+00 9.852114150912585799e+00 9.699613047824255929e+00 9.166298140227794988e+00 8.860660032022446231e+00 9.811831526284858995e+00 9.937372447727931046e+00 9.663400179046895744e+00 8.901197086365291611e+00 9.862920705553449352e+00
9.979844915693277585e+00 9.853006165715394005e+00 9.777934104361456491e+00 9.911943236494145992e+00 9.157046232402260344e+00 9.484162283228172896e+00 9.964242376227296916e+00 9.419789697415936303e+00 9.544192128036716127e+00 9.862851066937734501e+00
9.988277211175274672e+00 9.841680757467527130e+00 9.804937149934126239e+00 9.877610823067414003e+00 9.308601392793013574e+00 9.935101175861396072e+00 9.982846758466799031e+00 9.517295495751941559e+00 9.389362233372073874e+00 9.257193704126503775e+00
9.889564128118379926e+00 9.851723811966742517e+00 9.904831859259106253e+00 9.941288480398114302e+00 9.207219289050126321e+00 9.777466193047832377e+00 9.982524346939088744e+00 9.866892050788298008e+00 9.769923903919519148e+00 9.383717297717803163e+00
9.868034176408700731e+00 9.995186436723210832e+00 9.886279706396031486e+00 9.817426436092103970e+00 9.110206923591819717e+00 9.680630301713577524e+00 9.975006007724806167e+00 9.971080043794232850e+00 9.425495703708854478e+00 9.994883232704701470e+00
9.848730518567261782e+00 9.968139277409948207e+00 9.872873315540720895e+00 9.327915613120627114e+00 9.514925465426610884e+00 9.322411784514990529e+00 9.977049795612332517e+00 9.934351178763115797e+00 9.599926099686610925e+00 9.726831302455371642e+00
9.930537829929388494e+00 9.973326336944118964e+00 9.852866672883262567e+00 9.867342750493977022e+00 9.799517872995929579e+00 7.984149357841340056e+00 9.976472156139093883e+00 9.911096893813416742e+00 9.804390168456087906e+00 8.868961038082913362e+00
9.987705324704684529e+00 9.969418969388661012e+00 9.722695808839613818e+00 9.969714504914152897e+00 9.897564429648518569e+00 7.325232915154619384e+00 9.997043205151509682e+00 9.989030998822032714e+00 9.295690531075376128e+00 8.685957926973321364e+00
9.988495336201371089e+00 9.994870936529366645e+00 9.474974436579941539e+00 9.759101558621324557e+00 9.954822897503786905e+00 8.264092953148617582e+00 9.990843552590188636e+00 9.979200779498176743e+00 9.536108825308254211e+00 9.057093518579815594e+00
9.972632846174912302e+00 9.829569012784702409e+00 9.361996900301798874e+00 9.878961235519156503e+00 9.923619827670380644e+00 9.448701177910807658e+00 9.992201876735448351e+00 9.975493742257260266e+00 9.432275417105010717e+00 9.127649224732664379e+00
9.972578722327948952e+00 9.981814323012359935e+00 9.437075122866447785e+00 9.858772192430379278e+00 9.821762434638682038e+00 8.777783742009090062e+00 9.984415938002902280e+00 9.463458842988428543e+00 8.759902567597514178e+00 9.519548369634692975e+00
9.942121299728102102e+00 9.942606892572811716e+00 9.674372088998669739e+00 9.973523750352601525e+00 9.634622497739856684e+00 9.118240138090618174e+00 9.967364110545219091e+00 9.949001160577996217e+00 9.360520301102482676e+00 9.496276082109362804e+00
9.899082005645798432e+00 9.980129185535288272e+00 9.682255806095840356e+00 9.949501014548136624e+00 9.699074524633910954e+00 9.918042434176255639e+00 9.987340117384842841e+00 9.970146763554788905e+00 7.403932363703901842e+00 9.130758200075725028e+00
9.949610248650982314e+00 9.987500799574407395e+00 9.762135837238181679e+00 9.921526654842224957e+00 9.945244843398656442e+00 9.859723004394108870e+00 9.975786913173552151e+00 9.998949650868508954e+00 8.954692022367224169e+00 9.867068197230478788e+00
9.967045083623606416e+00 9.953485605610516984e+00 9.614615847367424806e+00 9.812615667100615724e+00 9.744742499507193401e+00 9.734249679039280068e+00 9.955137557581297258e+00 9.991201862165677738e+00 8.854303536853741718e+00 8.884288692845856872e+00
9.939045738786930428e+00 9.961561272374746423e+00 9.853643871909397944e+00 9.643551888318151910e+00 9.973309281434323381e+00 9.792836387742164916e+00 9.926002939125169178e+00 9.943976328644689389e+00 9.996267214532448264e+00 9.181599329256300734e+00
9.994876857544220172e+00 9.985079691712670069e+00 9.554535839668032438e+00 9.616327433997325258e+00 9.883194988146106752e+00 9.312749062086556506e+00 9.855200856334393578e+00 9.832461700777999525e+00 9.321659727544195917e+00 8.415430238358586834e+00
9.999004002550053727e+00 9.956073246306944569e+00 9.499099561531094693e+00 9.469861142534574228e+00 9.808456213177647598e+00 8.832886996602926644e+00 9.938329448602290839e+00 9.829747111492713074e+00 9.938220800952240808e+00 8.844183405266129228e+00
9.990471705782288936e+00 9.950225672309846559e+00 9.377018649537138373e+00 9.720335777974293379e+00 9.679493487688640485e+00 9.405808077822760183e+00 9.974547020647035467e+00 8.961869949193681961e+00 9.220696561984494721e+00 9.144471253424745427e+00
9.963091295886144394e+00 9.991033513257381315e+00 9.608706875425145455e+00 9.826459518244869074e+00 9.795591937857640374e+00 9.959374471300849407e+00 9.958998977527372176e+00 9.096766619096747775e+00 9.188773393290880165e+00 9.610849389904812412e+00
9.987235104086192194e+00 9.988295468247063269e+00 9.689049219515055711e+00 9.788488743436833062e+00 9.977312262816596444e+00 7.611449735431678576e+00 9.953230369782872344e+00 9.837413513590481884e+00 8.984190911397767820e+00 9.615328477631942761e+00
9.982488065595152449e+00 9.933344164724932313e+00 9.768443313492785052e+00 9.887448815857974083e+00 9.809286597465689539e+00 7.413148260632408615e+00 9.906005615592064828e+00 9.799350841358224429e+00 9.209028880695020902e+00 9.772950906193635490e+00
9.978212627864003537e+00 9.902754849184713493e+00 9.467658439701773787e+00 9.863986522689302205e+00 9.764325278859926627e+00 8.571766772871997730e+00 9.966708546459818407e+00 9.744295497832117903e+00 8.447254367881043891e+00 8.068734153567316270e+00
9.902992028850775341e+00 9.921067080551388528e+00 9.442010172158333603e+00 9.990471834543832585e+00 9.995841750919741031e+00 9.734069914966120507e+00 9.980767695830209618e+00 9.740205660758947559e+00 8.575652754459650140e+00 8.512610949072239919e+00
9.985406100582350675e+00 9.943797005380808685e+00 9.033286421939251909e+00 9.403287026977292129e+00 9.855630221323226081e+00 9.815497983112415170e+00 9.993198782714953765e+00 9.641598116576275856e+00 8.504393442954761184e+00 8.837615512091419490e+00
9.982093377128434142e+00 9.911816330979592138e+00 8.966276203881625051e+00 9.530607472758243048e+00 9.231092260459853094e+00 9.559378894968148188e+00 9.988686210997036241e+00 9.599875216521615684e+00 8.418814503404297156e+00 9.423460427406169515e+00
9.991713357229956571e+00 9.957564738063140908e+00 9.010346869086063748e+00 9.693845979355000253e+00 9.587402163706906677e+00 9.501890778256042225e+00 9.967425756819270788e+00 9.533928601053519358e+00 8.731812553850263114e+00 8.972939269994107292e+00
9.984911757413208022e+00 9.963938611369099974e+00 9.631585979029596345e+00 9.820923389368537926e+00 9.180702196448699226e+00 8.185516828457359395e+00 9.986368061453930522e+00 9.824958790067551462e+00 7.645822011723970135e+00 8.298564577642828510e+00
9.948079538156656909e+00 9.991509639491511052e+00 9.339150030346466735e+00 9.436624602062426703e+00 9.103560823947162817e+00 9.198700938960769236e+00 9.979841019420666370e+00 9.894737840068353663e+00 9.147352409292052400e+00 9.556592628735764094e+00
9.948999856690930343e+00 9.965929314636376546e+00 9.122307289200314528e+00 9.592618288960030881e+00 9.135344544298147795e+00 9.644327398131226303e+00 9.968125308430023424e+00 9.813770636439011597e+00 8.653147107087082901e+00 8.858419382411877763e+00
9.925471108879047932e+00 9.767988535472429845e+00 9.613552317923749868e+00 9.227330649649614358e+00 9.639268649586892224e+00 9.787232085929815639e+00 9.964387319675887866e+00 9.777401847471198337e+00 8.554978117350584554e+00 9.352046131372098614e+00
9.928297784896669143e+00 9.849702348503589278e+00 9.463170048024283076e+00 9.117575218062626163e+00 9.593633733965310384e+00 9.860024557686102753e+00 9.929180455661954952e+00 9.723859757897210798e+00 7.535052579566434261e+00 9.775261404624604467e+00
9.941609635841144765e+00 9.924569020661699881e+00 9.710999233520940521e+00 9.680382810248943315e+00 9.800424307470759544e+00 8.109035503102969500e+00 9.896573247926077954e+00 9.574298866408708975e+00 9.483727737880812469e+00 9.334897115422050362e+00
9.979915625061570594e+00 9.923107368146572682e+00 9.739325286940600179e+00 9.681966940129969501e+00 9.896703902069798886e+00 9.777286541390568075e+00 9.974432418507811704e+00 9.890803337976237231e+00 9.492179081620330194e+00 9.573645421159641344e+00
9.997531735586999702e+00 9.927979704040048148e+00 9.938691645699430310e+00 9.671623814796152629e+00 9.890091173055120422e+00 9.898006247137093538e+00 9.988917649896693618e+00 9.936768437863069181e+00 9.154740980878941059e+00 9.692392236685936524e+00
9.963517890776303787e+00 9.948449566410364042e+00 9.998632178425101102e+00 9.908962342321268935e+00 9.873417360672263499e+00 9.980956620364599630e+00 9.957696149761389393e+00 9.778000469858376675e+00 9.152836629170428395e+00 8.958898900235233498e+00
9.947731202876619605e+00 9.966290989469310801e+00 9.839310314547207170e+00 9.456410557842374942e+00 9.165354435487374829e+00 9.605202879341138811e+00 9.878709490942767957e+00 9.717732100585463328e+00 9.816463041225079067e+00 9.422891777447608419e+00
9.957061394373052821e+00 9.996737727557480468e+00 9.750097219510211133e+00 9.514294769983854039e+00 9.574104879631285314e+00 9.543240095098042275e+00 9.966196341884135279e+00 9.840247891063373942e+00 9.681495909183931659e+00 9.808595795567070397e+00
9.980912441762793463e+00 9.997139101727725574e+00 9.266360529498941290e+00 9.851214072860310367e+00 9.487024102210655840e+00 8.171016458298257845e+00 9.990707897754530720e+00 9.626008998979607156e+00 8.995289586676433302e+00 9.845350236955903611e+00
9.965891152450948809e+00 9.979019872399030433e+00 9.581719154785794501e+00 9.625321205215634279e+00 9.960945418732109147e+00 6.801251486871175089e+00 9.995086553195417167e+00 9.699248809107571034e+00 8.508953656915062780e+00 8.674676360927611185e+00
9.984418092866334860e+00 9.954219949364425446e+00 9.850850541571650965e+00 9.751882964360982342e+00 9.999230133948458388e+00 9.155735043759356984e+00 9.984730987845338746e+00 9.546586939705109742e+00 8.527461959649670575e+00 9.262429444978943494e+00
9.962351365583279161e+00 9.961988758142831912e+00 8.732593517004410444e+00 9.829063233555890733e+00 9.736121392612307801e+00 9.213199180338556005e+00 9.992112196996588480e+00 9.923890869131470893e+00 8.410469576305755979e+00 8.341674562230139145e+00
9.997654713176071795e+00 9.994912850900854906e+00 9.251559564873595320e+00 9.867137747232233025e+00 9.624353038379428682e+00 9.852694834913902966e+00 9.884925156936020585e+00 9.882551534684690608e+00 9.622803150270403449e+00 9.014906367016402911e+00
9.895617027238563068e+00 9.980032263053873365e+00 9.725336426471102413e+00 9.898597831542055303e+00 9.958494742984472126e+00 9.900667089695794232e+00 9.956195070484408660e+00 9.807722610289831167e+00 9.849542966619331708e+00 9.605735054666149964e+00
9.930279513306100370e+00 9.989145639864801751e+00 9.836596597980221901e+00 9.967312517699498997e+00 9.654977285609014359e+00 9.999897299420590357e+00 9.931153847635121323e+00 9.990000252836249928e+00 9.866484844294516776e+00 7.812177904309647758e+00
9.891455930227953885e+00 9.994555707872841310e+00 9.774035972370411329e+00 9.931496319718458921e+00 9.777652703688708868e+00 8.406565170991274982e+00 9.961211350236441220e+00 9.971545084393362401e+00 8.218006874900948944e+00 8.944802034061954288e+00
9.938494378965785359e+00 9.974211223753741251e+00 9.339953161646034729e+00 9.942935126010981506e+00 9.829642081814327526e+00 8.659560543134757538e+00 9.981043597193323791e+00 9.712186761091746945e+00 8.581829514741537324e+00 9.575831755779976362e+00
