log.prior	log.likelihood	log.likelihood.test.set
-1.514874619629541303e+04 -1.614200260392082782e+04 -2.605523108679264624e+03
-1.511296911947539957e+04 -1.613915822973603281e+04 -2.603825990127686509e+03
-1.512582352194174018e+04 -1.613899971250130329e+04 -2.600842087022097076e+03
-1.513680287852341826e+04 -1.614380338644348012e+04 -2.601086945903980450e+03
-1.513450446759655642e+04 -1.614809480402218469e+04 -2.602477162000120188e+03
-1.511354856867786111e+04 -1.615147268532426460e+04 -2.606310399006872103e+03
-1.512516315971566473e+04 -1.615469432792876250e+04 -2.599570664829881935e+03
-1.513069525667106973e+04 -1.615701947941921208e+04 -2.601153012140021474e+03
-1.512804752733070745e+04 -1.614496716186460253e+04 -2.606127842185743702e+03
-1.515190435763864843e+04 -1.614065173475673510e+04 -2.599735970913458914e+03
-1.513961051539409527e+04 -1.614402545831252428e+04 -2.599800658986773215e+03
-1.514933511916799398e+04 -1.614429706531036754e+04 -2.603040001078733894e+03
-1.515920136621847814e+04 -1.614476895639124632e+04 -2.600836804108108026e+03
-1.514580096258790400e+04 -1.614427884874815754e+04 -2.612715584296629004e+03
-1.516398184226066587e+04 -1.614305083558839942e+04 -2.612338149456058090e+03
-1.516354920777130246e+04 -1.615399803426411927e+04 -2.616344399744692510e+03
-1.517906080042386748e+04 -1.615154779794916794e+04 -2.614588469165154947e+03
-1.517143455180627825e+04 -1.614941552003266770e+04 -2.613780078295845215e+03
-1.515649985812133127e+04 -1.614272620251733679e+04 -2.613877339473686334e+03
-1.514537886888844332e+04 -1.613736091421780293e+04 -2.615111262698212613e+03
-1.513598815109963107e+04 -1.615457045595589443e+04 -2.616708740377524009e+03
-1.512841948998517910e+04 -1.615013109562008685e+04 -2.611021790017238800e+03
-1.512316136409996398e+04 -1.615867424074115479e+04 -2.611169720630342454e+03
-1.510639452338421688e+04 -1.615254239091131785e+04 -2.607624769022629607e+03
-1.510291080424541906e+04 -1.615554576994345189e+04 -2.599375526104002802e+03
-1.510393563599257322e+04 -1.616538456568034599e+04 -2.598425523354810593e+03
-1.512193711388609699e+04 -1.616655311986866036e+04 -2.603625148239303599e+03
-1.513385165044392124e+04 -1.616042700053420049e+04 -2.600449983940266065e+03
-1.516006698025982405e+04 -1.615863322785186756e+04 -2.601660005277361961e+03
-1.515569649802537060e+04 -1.615811716776137109e+04 -2.607295227680103835e+03
-1.514082979800304201e+04 -1.615544522724585477e+04 -2.605155611877804404e+03
-1.518102103309331869e+04 -1.615888299541763809e+04 -2.611490403366330156e+03
-1.518458973748278186e+04 -1.615646609099167472e+04 -2.602996349696502421e+03
-1.521013900242119962e+04 -1.615522628028592226e+04 -2.600966825423110095e+03
-1.520291703576032705e+04 -1.614205607848867476e+04 -2.605616164224013119e+03
-1.517627781807310566e+04 -1.614779042695331009e+04 -2.605600805641161514e+03
-1.519974005673534521e+04 -1.614223875326142479e+04 -2.602755629272388887e+03
-1.520124695203883130e+04 -1.613350700084821801e+04 -2.602527234880396918e+03
-1.518531100361248355e+04 -1.614343187775777551e+04 -2.603980341846735882e+03
-1.519181221891234418e+04 -1.614529260048547440e+04 -2.602002754154682862e+03
-1.516794519522735391e+04 -1.615120817510734923e+04 -2.603494027214158905e+03
-1.517415684106401022e+04 -1.614690826813949025e+04 -2.605933595420595793e+03
-1.515966686793209556e+04 -1.615402859506682580e+04 -2.606083968385913067e+03
-1.513980501794357770e+04 -1.615062839791094120e+04 -2.608349779670552834e+03
-1.515685212886129557e+04 -1.615292881480396863e+04 -2.600259512927909327e+03
-1.515019439570924442e+04 -1.615477585945111059e+04 -2.606936044150532325e+03
-1.515818048242988152e+04 -1.615862420796555853e+04 -2.608518455262139469e+03
-1.515701793750383513e+04 -1.616319236509726943e+04 -2.608786938981362255e+03
-1.515791962949385379e+04 -1.616340602159929404e+04 -2.608211806152616646e+03
-1.516694749770805356e+04 -1.616216510218705116e+04 -2.608503990011941369e+03
-1.516454728157292993e+04 -1.615301663601609471e+04 -2.605278885377979805e+03
-1.514904206939933465e+04 -1.616132582067006661e+04 -2.602878500560564589e+03
-1.515785139263168639e+04 -1.615826332959583851e+04 -2.605401384476016119e+03
-1.516774288071571755e+04 -1.616184303705179082e+04 -2.601312958911536498e+03
