time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	time.decay.10	
9.221518493006777817e+01 8.610911395582884609e+01 1.087551637975938661e+02 1.011013374851575861e+02 8.512571406272289209e+01 9.876667791685400744e+01 1.223489557082143904e+02 9.999404287514136058e+01 1.055164478123490426e+02 9.717136174307931640e+01
1.088494636242511717e+02 1.153439434490639854e+02 1.072346696504250900e+02 9.335706333708600368e+01 1.145380137795991686e+02 9.876833743878833616e+01 1.284402851120010780e+02 9.884711397745108741e+01 1.102244310138566163e+02 1.013624575970986683e+02
8.577655776150659506e+01 1.039439637672936954e+02 9.279079370722206477e+01 1.037317354464342003e+02 1.186739785675787431e+02 9.075736951351045434e+01 9.299279800151418840e+01 1.045276733041793449e+02 8.110014947269785068e+01 1.119474191359177837e+02
1.104777282273168169e+02 1.133012534698904261e+02 1.002457841023814211e+02 9.859944436942514301e+01 1.196875014714574661e+02 9.773623298119065339e+01 1.196753877165128443e+02 1.001780764718234025e+02 1.089774143498821104e+02 1.211590387229813928e+02
9.965747505520916150e+01 7.780509593604752183e+01 9.662283374977465655e+01 1.060855578724625730e+02 1.106985373618895920e+02 1.040146083535886277e+02 9.334157555018383334e+01 1.117270840253176516e+02 9.718134436220557859e+01 7.188759050210867940e+01
9.489402408043889636e+01 1.163551522922816872e+02 1.018541296827747971e+02 9.183133454608133661e+01 1.006416829545769929e+02 9.438819042551143923e+01 1.107016453746433768e+02 8.641654708736049884e+01 1.015438819248494156e+02 7.169817256441339737e+01
1.076914828167183913e+02 1.138771160148791068e+02 1.042286125631059690e+02 1.049794818168538768e+02 1.122507556554866426e+02 1.003906995439431853e+02 9.075081192924429274e+01 1.121834798181360497e+02 1.036977501746305990e+02 7.177962823956467275e+01
1.040503326600864966e+02 9.833193847786249364e+01 1.011508211461560762e+02 1.109505281516112660e+02 1.106655065676612537e+02 1.055037171760012882e+02 8.580671669109142385e+01 1.080820039153201293e+02 1.054090550842485641e+02 1.098226128665274928e+02
8.890355347169540323e+01 9.529857756730719132e+01 8.937749093131910172e+01 1.042411332321428716e+02 9.466316142835671599e+01 8.104995743516101925e+01 8.664658834195340376e+01 8.900786276139598385e+01 1.080877715459315453e+02 8.391091078329304764e+01
1.039527836622271479e+02 9.593726231725062803e+01 7.809608637256646091e+01 1.048031502571211604e+02 8.293209366650549441e+01 9.937342430293455209e+01 1.086807156766366944e+02 1.137278540159461215e+02 9.358054512930304725e+01 8.460760001759061311e+01
9.835290256340192627e+01 9.952905469227596313e+01 7.739534462073798693e+01 1.093317738293066128e+02 1.048396586320805142e+02 8.846658331687275734e+01 1.090835769128991615e+02 1.045401515139744077e+02 9.795285284075677623e+01 1.010284522773238791e+02
1.014398689654541386e+02 1.044097615926448839e+02 8.590023434218244347e+01 1.097812066777801192e+02 1.126301122740194671e+02 9.565806638151737218e+01 1.113487074438354512e+02 9.500870469082954628e+01 1.199829032156790447e+02 8.611142674897504889e+01
