word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	word.concentration.8	word.concentration.9	word.concentration.10	word.concentration.11	word.concentration.12	
9.834422236679495555e+00 9.662448336572031948e+00 9.896383701135873068e+00 9.911409190266031288e+00 9.497442384646658908e+00 9.781633953958268179e+00 9.969419612062303315e+00 9.535803459588173325e+00 9.216324350743130722e+00 9.525190332758217693e+00 9.937977572195265452e+00 9.719356746714314710e+00
9.808323995336623469e+00 9.852691086808825105e+00 9.910002723628490884e+00 8.747196206516006711e+00 9.964558737348125916e+00 9.848492248899804125e+00 9.629969851685775240e+00 9.305881532374069565e+00 9.412710182027421268e+00 9.353267656357683535e+00 9.923139351346589976e+00 9.211917090005961484e+00
9.688050781381292609e+00 9.885817936867926647e+00 9.718176511721889455e+00 9.103324442637591218e+00 9.747875932610371663e+00 9.522865449141828975e+00 7.461789792652846032e+00 9.592966398824191998e+00 9.862694489581803836e+00 9.009003512688222415e+00 9.871769074916640463e+00 9.173791154268242209e+00
9.703228045471629315e+00 9.882315997229891735e+00 9.870971475132758854e+00 7.511042463726451679e+00 9.758146264786308421e+00 9.676550236047816611e+00 9.648844028638979609e+00 9.145332473233256820e+00 9.773478847025366179e+00 9.029401764930906182e+00 9.877584924243633324e+00 7.621818721733180091e+00
9.949595468146823052e+00 9.898750349035193352e+00 9.817512074315168036e+00 7.489869730108862811e+00 9.625336657964140841e+00 9.827294442960038623e+00 6.642637914493416673e+00 9.300807901365750752e+00 9.467750785666297020e+00 8.187933104829600239e+00 9.843511483225597658e+00 8.626619546438330843e+00
9.745115233398925270e+00 9.905395138022111468e+00 9.634175700330992242e+00 9.721885872192912004e+00 9.868020706847277168e+00 9.945616926040372618e+00 9.860196709522517367e+00 9.444261466373323088e+00 9.821406163321590554e+00 8.821095286345732589e+00 9.605262847728571529e+00 9.628438411365436878e+00
9.923668217186698115e+00 9.876544301355455246e+00 9.793662031611834351e+00 8.451814507222970008e+00 9.828751784059145180e+00 9.919645218687005439e+00 9.991536985758282086e+00 9.491341015712496443e+00 9.814848323421466958e+00 9.212324036986736076e+00 9.864651619166622254e+00 7.748463008713194711e+00
9.937226925919784293e+00 9.704836988258758623e+00 9.687954312455230976e+00 9.975656459673277965e+00 9.830476297915708983e+00 9.912177741420075350e+00 9.051403277032498806e+00 8.530626535201092153e+00 9.131462107334527900e+00 9.383944472127220493e+00 9.982191259896977087e+00 5.943196976839815626e+00
9.923077918915000240e+00 9.734286003137128773e+00 9.465211153740645145e+00 9.971613720669548542e+00 9.812826690850501521e+00 9.971069688715585855e+00 6.888363480760166802e+00 8.330387101385340998e+00 9.006610858392406271e+00 7.401767944929360077e+00 9.966916326938898507e+00 6.264815943486767402e+00
9.864655756859663782e+00 9.998108389777929261e+00 9.080946634901568615e+00 9.929857698891137119e+00 9.800204411366246759e+00 9.853900070485813956e+00 6.713753311072536256e+00 9.695295636003079309e+00 9.046710025608641459e+00 8.780700408991370054e+00 9.930844044310553898e+00 9.687553238558791691e+00
