time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	time.decay.10	time.decay.11	time.decay.12	
9.377891138764178436e+01 1.023234041271760475e+02 8.938733204006680921e+01 9.553430903212394298e+01 8.086935505219031484e+01 9.573623158121698395e+01 8.932247492425250357e+01 1.104414806593908764e+02 1.081769230502168710e+02 1.179296922138343575e+02 1.123455879074762436e+02 9.070573951067254370e+01
1.088518605723402004e+02 1.004535850509782051e+02 1.087910300624066053e+02 1.093052199189728242e+02 1.101751370429647636e+02 9.426552587568609454e+01 8.913160525800255130e+01 1.002712903733188767e+02 1.097104190130629604e+02 1.191628531602308669e+02 8.565111902488195028e+01 8.524664517871217129e+01
9.285401775988654549e+01 1.278298004643921786e+02 1.013488775285419479e+02 9.870943793190198789e+01 9.565821777000614645e+01 9.466327599776674617e+01 9.456474478925616722e+01 8.944385979440247070e+01 9.036601063865361994e+01 1.125452550023628646e+02 1.102268313406946874e+02 1.031810642099782598e+02
1.117944060072923094e+02 9.830979805987534803e+01 8.670451766341680866e+01 1.021072104642869647e+02 1.076683024805786317e+02 9.902669484236265873e+01 1.057438484096817888e+02 8.807767300329284410e+01 1.080880118034760358e+02 9.459583411940573683e+01 1.011029957825738848e+02 1.120940043757311173e+02
1.135348919940520034e+02 1.187250980265983316e+02 1.147935845991922861e+02 1.142069869699255946e+02 9.991545950006567978e+01 1.068159943755563575e+02 9.409515306576220439e+01 1.007697416282268250e+02 9.340668044877854470e+01 8.984289572169292626e+01 1.048728097232587970e+02 1.030499366002378707e+02
1.146665733769791018e+02 1.073560886000252026e+02 1.131444188282195142e+02 9.176273797770488727e+01 1.019827475908425214e+02 9.912926423544880095e+01 1.042691494093425177e+02 8.713105896927872607e+01 9.378827133856394482e+01 9.789849863436373312e+01 1.071672383325649207e+02 9.380727996343283337e+01
6.953372872655839387e+01 8.407175273996539033e+01 1.122117336717235645e+02 1.045111348439088914e+02 9.087465156189422544e+01 9.580455543109947314e+01 9.749005950949393196e+01 9.942511617855424788e+01 9.365952276916462438e+01 1.046884900525991213e+02 1.123915001758160770e+02 9.407963839076342083e+01
9.849952119631772973e+01 9.882105509041993230e+01 9.633447458096640048e+01 9.766048455507038284e+01 9.356826240672933181e+01 9.055457040145857661e+01 1.068045181315190888e+02 1.016797000231415495e+02 1.011289002813102655e+02 1.049113789850043759e+02 1.239868495476615351e+02 8.406383878702462198e+01
9.047580415384517494e+01 9.909696925045396654e+01 9.101518673092998313e+01 9.003013575693763926e+01 1.020263553980247764e+02 9.777696674495048512e+01 9.802050843126093582e+01 9.689135383724639894e+01 9.557103292241689019e+01 1.048386928139369729e+02 8.394293783723506408e+01 1.168504956621250273e+02
9.490002128761182121e+01 9.398153898954494423e+01 1.083302626847199406e+02 9.668687524292789703e+01 1.043446793516909281e+02 9.387266338398531218e+01 9.162165476490159222e+01 1.018867829750020348e+02 1.016749609258907867e+02 9.372547788608979147e+01 1.084548340061148934e+02 9.225053029924356451e+01
1.021552911334907208e+02 1.174790000151754015e+02 1.058817209855662043e+02 9.741594073999740999e+01 1.012392761843939581e+02 9.711892453685003090e+01 9.213376709059463110e+01 9.595245238562191048e+01 9.722875922679956773e+01 9.041787298070013890e+01 9.039761744038685265e+01 1.032647750989109170e+02
1.026587044765696817e+02 9.585155703996505849e+01 1.077874325652942105e+02 9.935911568953500250e+01 1.009553085010079485e+02 9.260895928893754103e+01 8.974081388592639996e+01 9.921210326689332248e+01 9.961901696443868559e+01 1.045815291209802496e+02 9.005172893413730151e+01 1.017229505215039751e+02
9.207009188814302547e+01 9.921993048628701217e+01 1.070943722133969231e+02 9.353026421068430807e+01 8.580330706382591188e+01 1.143466655547231881e+02 9.550299995192651181e+01 9.198302982835366493e+01 9.671020121469170761e+01 9.563250168920953342e+01 1.073377742558510022e+02 1.081680873532944958e+02
1.024191053253147459e+02 9.721159470166594474e+01 1.064515382656808669e+02 9.407273138576979932e+01 1.145428464320970363e+02 8.859006081284913137e+01 9.330561378893588653e+01 8.375839905621165826e+01 8.477267254826969634e+01 9.517484505279104212e+01 8.933825553445697665e+01 9.390501498944352932e+01
9.956746370895247367e+01 9.239785089448346866e+01 9.536009245965408354e+01 8.851418460069938021e+01 1.058568284712157208e+02 8.365922625479792885e+01 9.604464361562595798e+01 1.173135487905436349e+02 9.477209503178880823e+01 1.144090139126493568e+02 1.058919352370180320e+02 9.655802859743701561e+01
