log.prior	log.likelihood	log.likelihood.test.set
-1.788654962059618265e+04 -1.012244683037782306e+04 -1.207176851278462891e+03
-1.788300024695190586e+04 -1.011769180925973160e+04 -1.205487872149632494e+03
-1.790685244902851991e+04 -1.010494996012562115e+04 -1.204711850292707823e+03
-1.789408926197770415e+04 -1.009748609891426167e+04 -1.210084848952567881e+03
-1.789714739612987978e+04 -1.010019550559256095e+04 -1.214295187970125426e+03
-1.791670976280929608e+04 -1.010119585626593471e+04 -1.223365059009472134e+03
-1.791025191888090558e+04 -1.011064618358502594e+04 -1.212945706356746541e+03
-1.793573780933254238e+04 -1.010043026209552590e+04 -1.215878111471702596e+03
-1.797016352085270773e+04 -1.009808410320034636e+04 -1.208932658877364247e+03
-1.799541578646388007e+04 -1.010714475974855486e+04 -1.207331302595164289e+03
-1.799348074128762528e+04 -1.011504007359562820e+04 -1.212455478749680879e+03
-1.799572903306134685e+04 -1.010696591499323767e+04 -1.206273644333791253e+03
-1.800619910685063223e+04 -1.009665309517312744e+04 -1.209231644163488909e+03
-1.799183206584249638e+04 -1.010230093683218547e+04 -1.210252315773946975e+03
-1.798966915197217895e+04 -1.010222572893126380e+04 -1.209504904702370368e+03
-1.797940856882346998e+04 -1.011288151107469821e+04 -1.212117459749401860e+03
-1.799955733409458844e+04 -1.010662761399509691e+04 -1.200528710339350255e+03
-1.801134698157187813e+04 -1.011233392192481915e+04 -1.204255539279317418e+03
-1.801411978734461081e+04 -1.012141651336361610e+04 -1.213004443055261618e+03
-1.800094114386922593e+04 -1.009754054937665569e+04 -1.202821983771821124e+03
-1.801038583938379088e+04 -1.009760371552295692e+04 -1.207067891877170041e+03
-1.800202889912515093e+04 -1.008681974315445404e+04 -1.198193570305742924e+03
-1.801643566992691558e+04 -1.009274692346972370e+04 -1.210129323522433879e+03
-1.803886894364182444e+04 -1.009032230081200032e+04 -1.205488535183111708e+03
-1.805955514033472718e+04 -1.009117507618293530e+04 -1.211144283400214590e+03
-1.805868271150280998e+04 -1.008936063838403970e+04 -1.203577455238545099e+03
-1.805568417258111731e+04 -1.009239618487359257e+04 -1.199956425172014860e+03
-1.805196585588222297e+04 -1.009859605552130779e+04 -1.206270809076806927e+03
-1.805279325178912040e+04 -1.009890706126219629e+04 -1.203308213408937718e+03
-1.804269469932787615e+04 -1.010172145786090914e+04 -1.204526473438927496e+03
-1.804330933189425559e+04 -1.009303781794177485e+04 -1.204863921136840418e+03
-1.802111177675477666e+04 -1.009298736779979299e+04 -1.199944982257888114e+03
-1.803773997332477666e+04 -1.010226222517650240e+04 -1.209162212990367152e+03
-1.799300632330859298e+04 -1.011056505564681720e+04 -1.211137284534135688e+03
-1.797579674411303859e+04 -1.011939093765107100e+04 -1.207467636211377794e+03
-1.796602963513769646e+04 -1.009419077488035509e+04 -1.200076134512272347e+03
-1.795952285063985255e+04 -1.009592825286680454e+04 -1.199072611706452790e+03
-1.797993305184982819e+04 -1.009469460174601954e+04 -1.203971850023934621e+03
-1.794140258842770345e+04 -1.010069897942468560e+04 -1.216750711088811840e+03
-1.795572249846051272e+04 -1.009193067150921524e+04 -1.207537889887749316e+03
-1.797877254791115047e+04 -1.010432380573302726e+04 -1.213096406977503193e+03
-1.796953457537803479e+04 -1.010783104998827912e+04 -1.203809112561906659e+03
-1.796363529499055585e+04 -1.010811281316737768e+04 -1.205208332107253227e+03
-1.794810080809066494e+04 -1.011028361179655803e+04 -1.206931940719664908e+03
-1.795490499634348816e+04 -1.010573966913020922e+04 -1.199654027856350240e+03
-1.794737174252452314e+04 -1.010005208898001547e+04 -1.206233735079704275e+03
-1.795953281072455502e+04 -1.008958271224280361e+04 -1.198329212365003514e+03
-1.792416324544267627e+04 -1.010156706008698893e+04 -1.210182463042039672e+03
-1.793864285469940660e+04 -1.011184116136132252e+04 -1.212700492701824714e+03
-1.795916455314205450e+04 -1.010225246736186455e+04 -1.206736453533935219e+03
-1.797715300472015224e+04 -1.010435328086961636e+04 -1.212650882562316838e+03
-1.800166845367646965e+04 -1.010244112848139775e+04 -1.210809440556837217e+03
-1.800348789866772859e+04 -1.010988888679037336e+04 -1.207538234239350004e+03
-1.803790122823197817e+04 -1.010727471504344430e+04 -1.200653481193829521e+03
-1.802609593126538311e+04 -1.010169329291859140e+04 -1.203946176297841703e+03
-1.800285100388457795e+04 -1.010812893741525841e+04 -1.205258984628853341e+03
-1.799842797929355220e+04 -1.010035868293582462e+04 -1.201830064334469171e+03
-1.800490439811797842e+04 -1.009880996289538598e+04 -1.202355537879993335e+03
-1.801562143269160879e+04 -1.009779510921947076e+04 -1.206428436023738413e+03
-1.803415776231634300e+04 -1.009277754836425083e+04 -1.201533668037679945e+03
-1.803658017261773057e+04 -1.009826213446986731e+04 -1.202395529498050564e+03
-1.804707808018563446e+04 -1.009710139357581829e+04 -1.200693577041542540e+03
-1.803299535469860712e+04 -1.008892962287935370e+04 -1.202547929893901255e+03
-1.801835032041854356e+04 -1.009594757259431208e+04 -1.208369098480995035e+03
-1.805263759089191808e+04 -1.010989094486468821e+04 -1.206646248520229165e+03
-1.804285536635915560e+04 -1.009531675642514347e+04 -1.204304939044191087e+03
-1.802146792145602376e+04 -1.010121967936528199e+04 -1.196151827620872609e+03
-1.800062992308594403e+04 -1.011682034057426063e+04 -1.199366890996161601e+03
-1.802068506578853703e+04 -1.010076555357309189e+04 -1.197298725916495187e+03
-1.800860171143001571e+04 -1.010706614819570132e+04 -1.199885182278047523e+03
-1.803409581687882019e+04 -1.009726722824493663e+04 -1.198151769253033763e+03
-1.802413362173120549e+04 -1.010755642145360071e+04 -1.205388157923558083e+03
-1.803746961700762768e+04 -1.010120774916920891e+04 -1.202376361644032386e+03
-1.802792594868787637e+04 -1.010257712411938883e+04 -1.198677894281919180e+03
-1.802883742454669482e+04 -1.009790424476327826e+04 -1.199833205536901460e+03
-1.803212464131918387e+04 -1.010234947083949373e+04 -1.198791110661680705e+03
-1.802939508802424098e+04 -1.010587797787719683e+04 -1.206192584136889764e+03
